cycle theoreticalDist theoreticalMaxDist average standardDeviation
37 14.9779 30.9977 14.9776 0.824807
38 15.0792 31.6448 15.0789 0.834525
39 15.1744 32.2834 15.1742 0.843736
40 15.264 32.9137 15.2637 0.852466
41 15.3481 33.5358 15.3479 0.860738
42 15.4272 34.1499 15.427 0.868571
43 15.5016 34.7559 15.5014 0.875984
44 15.5715 35.3541 15.5713 0.883003
45 15.6372 35.9445 15.637 0.889646
46 15.699 36.5272 15.6988 0.895928
47 15.7571 37.1024 15.7568 0.901871
48 15.8116 37.67 15.8114 0.907489
49 15.8629 38.2303 15.8627 0.912799
50 15.9112 38.7833 15.9109 0.917818
firstSpeed 1.1
1 1.1 1.155 1.09998 0.0224554
2 2.134 2.29499 2.13398 0.0484345
3 3.10596 3.42015 3.10593 0.0780733
4 4.0196 4.53069 4.01962 0.110079
5 4.87843 5.62679 4.8785 0.143602
6 5.68572 6.70864 5.68588 0.178033
7 6.44458 7.77643 6.44482 0.212891
8 7.1579 8.83034 7.15823 0.247838
9 7.82843 9.87054 7.82885 0.28259
10 8.45872 10.8972 8.45923 0.31695
11 9.0512 11.9106 9.05179 0.350723
12 9.60813 12.9107 9.6088 0.383781
13 10.1316 13.8979 10.1324 0.416013
14 10.6237 14.8722 10.6246 0.447349
15 11.0863 15.8339 11.0872 0.477766
16 11.5211 16.783 11.5221 0.50721
17 11.9299 17.7199 11.931 0.535654
18 12.3141 18.6445 12.3153 0.563074
19 12.6752 19.5571 12.6765 0.589466
20 13.0147 20.4579 13.0161 0.614837
21 13.3338 21.3469 13.3352 0.639196
22 13.6338 22.2244 13.6353 0.662554
23 13.9158 23.0905 13.9173 0.684918
24 14.1808 23.9453 14.1824 0.706314
25 14.43 24.789 14.4317 0.72677
26 14.6642 25.6218 14.6659 0.746304
27 14.8843 26.4437 14.8861 0.764951
28 15.0913 27.2549 15.0931 0.782735
29 15.2858 28.0556 15.2877 0.799689
30 15.4686 28.8459 15.4706 0.815836
31 15.6405 29.6259 15.6426 0.831209
32 15.8021 30.3957 15.8042 0.845825
33 15.954 31.1556 15.9561 0.859722
34 16.0967 31.9056 16.0989 0.872924
35 16.2309 32.6458 16.2331 0.885465
36 16.3571 33.3764 16.3593 0.89737
37 16.4756 34.0975 16.4779 0.908668
38 16.5871 34.8093 16.5894 0.919385
39 16.6919 35.5117 16.6942 0.929547
40 16.7904 36.2051 16.7927 0.939181
41 16.8829 36.8894 16.8853 0.94831
42 16.97 37.5649 16.9724 0.956957
43 17.0518 38.2315 17.0542 0.965147
44 17.1287 38.8895 17.1311 0.9729
45 17.2009 39.5389 17.2035 0.98024
46 17.2689 40.1799 17.2714 0.987184
47 17.3328 40.8126 17.3353 0.993754
48 17.3928 41.437 17.3954 0.999964
49 17.4492 42.0533 17.4518 1.00583
50 17.5023 42.6617 17.5049 1.01138
firstSpeed 1.2
1 1.2 1.26 1.20005 0.0244709
2 2.328 2.50362 2.32807 0.0528022
3 3.38832 3.73107 3.38842 0.0851407
4 4.38502 4.94257 4.38516 0.12009
5 5.32192 6.13832 5.32207 0.156699
6 6.2026 7.31852 6.2028 0.194311
7 7.03045 8.48338 7.03067 0.232365
8 7.80862 9.63309 7.80888 0.270507
9 8.5401 10.7679 8.54039 0.308425
10 9.2277 11.8879 9.22801 0.345872
11 9.87404 12.9933 9.8744 0.382693
12 10.4816 14.0844 10.482 0.418723
13 11.0527 15.1613 11.0531 0.45387
14 11.5895 16.2242 11.59 0.488046
15 12.0942 17.2733 12.0947 0.521176
16 12.5685 18.3088 12.5691 0.553247
17 13.0144 19.3307 13.015 0.584224
18 13.4335 20.3394 13.4342 0.614093
19 13.8275 21.335 13.8283 0.64283
20 14.1979 22.3177 14.1986 0.670444
21 14.546 23.2876 14.5468 0.696951
22 14.8732 24.2448 14.8741 0.722363
23 15.1808 25.1896 15.1817 0.746703
24 15.47 26.1222 15.4709 0.769993
25 15.7418 27.0426 15.7427 0.792257
26 15.9973 27.951 15.9982 0.813527
27 16.2375 28.8477 16.2384 0.83382
